Symbol	Name	LastSale	MarketCap	ADR TSO	IPOyear	Sector	Industry	Summary Quote
CBOE	Cboe Global Markets, Inc.	107.5	12020515625	n/a	2010	n/a	n/a	https://www.nasdaq.com/symbol/cboe
LSXMK	Liberty Media Corporation	37.28	11917558560	n/a	n/a	Consumer Services	Broadcasting	https://www.nasdaq.com/symbol/lsxmk
VIAB	Viacom Inc.	29.52	11898774944.64	n/a	n/a	Consumer Services	Television Services	https://www.nasdaq.com/symbol/viab
LSXMA	Liberty Media Corporation	37.13	11869607010	n/a	n/a	Consumer Services	Broadcasting	https://www.nasdaq.com/symbol/lsxma
LNT	Alliant Energy Corporation	49.78	11817493680.02	n/a	n/a	Public Utilities	Power Generation	https://www.nasdaq.com/symbol/lnt
LSXMB	Liberty Media Corporation	36.94	11808868380	n/a	n/a	Consumer Services	Broadcasting	https://www.nasdaq.com/symbol/lsxmb
ABMD	ABIOMED, Inc.	257.06	11599762836.74	n/a	n/a	Health Care	Medical/Dental Instruments	https://www.nasdaq.com/symbol/abmd
ODFL	Old Dominion Freight Line, Inc.	142.06	11499276837.2	n/a	1991	Transportation	Trucking Freight/Courier Services	https://www.nasdaq.com/symbol/odfl
REG	Regency Centers Corporation	68.02	11394621361.82	n/a	1993	Consumer Services	Real Estate Investment Trusts	https://www.nasdaq.com/symbol/reg
CHRW	C.H. Robinson Worldwide, Inc.	82.74	11299183732.2	n/a	1997	Transportation	Oil Refining/Marketing	https://www.nasdaq.com/symbol/chrw
SIVB	SVB Financial Group	214.5	11159832255	n/a	n/a	Finance	Major Banks	https://www.nasdaq.com/symbol/sivb
SGEN	Seattle Genetics, Inc.	69.03	11135548425.69	n/a	2001	Health Care	Biotechnology: Biological Products (No Diagnostic Substances)	https://www.nasdaq.com/symbol/sgen
OTEX	Open Text Corporation	40.89	11029926902.13	n/a	1996	Technology	EDP Services	https://www.nasdaq.com/symbol/otex
TRMB	Trimble Inc.	43.65	10983433738.05	n/a	1990	Capital Goods	Industrial Machinery/Components	https://www.nasdaq.com/symbol/trmb
NCLH	Norwegian Cruise Line Holdings Ltd.	50.86	10955010349.16	n/a	n/a	Consumer Services	Marine Transportation	https://www.nasdaq.com/symbol/nclh
ETFC	E*TRADE Financial Corporation	44.47	10880505495.36	n/a	n/a	Finance	Savings Institutions	https://www.nasdaq.com/symbol/etfc
ACWI	iShares MSCI ACWI Index Fund	73.07	10668220000	n/a	n/a	n/a	n/a	https://www.nasdaq.com/symbol/acwi
ZBRA	Zebra Technologies Corporation	197.53	10662039476.83	n/a	1991	Technology	Industrial Machinery/Components	https://www.nasdaq.com/symbol/zbra
ROKU	Roku, Inc.	93.25	10564446828.75	n/a	2017	Consumer Services	Television Services	https://www.nasdaq.com/symbol/roku
JKHY	Jack Henry & Associates, Inc.	135.65	10472675258.15	n/a	1985	Technology	EDP Services	https://www.nasdaq.com/symbol/jkhy
HSIC	Henry Schein, Inc.	69.32	10333843300.2	n/a	1995	Health Care	Medical Specialities	https://www.nasdaq.com/symbol/hsic
ARRY	Array BioPharma Inc.	46.21	10309239311.99	n/a	2000	Health Care	Major Pharmaceuticals	https://www.nasdaq.com/symbol/arry
TTD	The Trade Desk, Inc.	226.88	10101594683.52	n/a	2016	Technology	Computer Software: Programming, Data Processing	https://www.nasdaq.com/symbol/ttd
PTC	PTC Inc.	86.06	9900500750.4	n/a	n/a	Technology	Computer Software: Prepackaged Software	https://www.nasdaq.com/symbol/ptc
DBX	Dropbox, Inc.	23.97	9855957034.5	n/a	2018	Technology	Computer Software: Prepackaged Software	https://www.nasdaq.com/symbol/dbx
MYL	Mylan N.V.	18.65	9613479113.85	n/a	n/a	Health Care	Major Pharmaceuticals	https://www.nasdaq.com/symbol/myl
JBHT	J.B. Hunt Transport Services, Inc.	87.81	9548362194.33	n/a	n/a	Transportation	Trucking Freight/Courier Services	https://www.nasdaq.com/symbol/jbht
SNY	Sanofi	43.49	9440335072.02	217069098	n/a	Health Care	Major Pharmaceuticals	https://www.nasdaq.com/symbol/sny
