timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,39.1200,41.5350,38.4900,40.7000,40.7000,980923,0.0000,1.0000
2019-06-27,39.1700,40.3100,38.3000,38.9200,38.9200,94658,0.0000,1.0000
2019-06-26,42.5000,42.9100,38.3250,39.0800,39.0800,177231,0.0000,1.0000
2019-06-25,42.3700,43.2600,41.5166,42.4000,42.4000,120153,0.0000,1.0000
2019-06-24,42.7800,42.9600,41.0300,42.3600,42.3600,136058,0.0000,1.0000
2019-06-21,40.7400,43.2100,40.3700,42.4900,42.4900,638352,0.0000,1.0000
2019-06-20,41.8500,41.8500,39.8042,40.8500,40.8500,153218,0.0000,1.0000
2019-06-19,44.2100,44.4864,41.0100,41.5700,41.5700,162126,0.0000,1.0000
2019-06-18,44.2100,45.4800,43.0200,43.6300,43.6300,160758,0.0000,1.0000
2019-06-17,40.4000,47.7215,40.4000,42.6300,42.6300,453519,0.0000,1.0000
2019-06-14,39.0700,40.2350,38.1700,39.9000,39.9000,198993,0.0000,1.0000
2019-06-13,36.6600,40.0000,36.6600,39.1900,39.1900,192497,0.0000,1.0000
2019-06-12,35.3200,37.2000,35.0500,36.6100,36.6100,161581,0.0000,1.0000
2019-06-11,36.9300,37.2000,35.0100,35.4100,35.4100,99931,0.0000,1.0000
2019-06-10,34.5200,37.2150,33.4300,36.6200,36.6200,144761,0.0000,1.0000
2019-06-07,33.8000,35.0800,33.8000,34.4900,34.4900,81133,0.0000,1.0000
2019-06-06,35.8900,36.2800,32.6150,33.6900,33.6900,72455,0.0000,1.0000
2019-06-05,36.0000,36.9900,34.9230,36.1000,36.1000,141421,0.0000,1.0000
2019-06-04,35.9700,36.2000,33.6005,36.0000,36.0000,116258,0.0000,1.0000
2019-06-03,35.3100,37.9800,35.2050,35.9500,35.9500,180429,0.0000,1.0000
2019-05-31,38.3100,38.5200,31.0000,34.8200,34.8200,514140,0.0000,1.0000
2019-05-30,39.7500,39.8300,36.8048,38.8000,38.8000,168037,0.0000,1.0000
2019-05-29,40.0100,41.9300,39.5800,40.0700,40.0700,240861,0.0000,1.0000
2019-05-28,40.8300,41.5000,39.0700,40.5200,40.5200,261940,0.0000,1.0000
2019-05-24,40.8800,41.0144,39.8900,40.9700,40.9700,108194,0.0000,1.0000
2019-05-23,38.2900,40.9400,38.0600,40.3800,40.3800,182415,0.0000,1.0000
2019-05-22,37.9700,39.2200,36.5000,38.6700,38.6700,246358,0.0000,1.0000
2019-05-21,36.8600,38.3450,35.9600,37.6900,37.6900,183452,0.0000,1.0000
2019-05-20,34.2000,37.9300,34.2000,36.4900,36.4900,127347,0.0000,1.0000
2019-05-17,32.1500,35.0500,31.4100,34.2700,34.2700,147425,0.0000,1.0000
2019-05-16,31.0000,33.8700,31.0000,32.4800,32.4800,178513,0.0000,1.0000
2019-05-15,30.0000,31.6700,29.9000,31.1000,31.1000,260703,0.0000,1.0000
2019-05-14,29.9800,30.9400,29.4700,30.2600,30.2600,151090,0.0000,1.0000
2019-05-13,32.5000,33.2000,29.0000,29.5600,29.5600,254062,0.0000,1.0000
2019-05-10,33.2500,34.0800,30.6200,32.1200,32.1200,140263,0.0000,1.0000
2019-05-09,33.6300,34.2650,33.0300,33.4800,33.4800,121500,0.0000,1.0000
2019-05-08,33.8700,35.2400,33.4600,33.7800,33.7800,206124,0.0000,1.0000
2019-05-07,33.5300,36.9500,32.9550,34.0000,34.0000,116764,0.0000,1.0000
2019-05-06,32.2400,34.3200,31.4100,33.7800,33.7800,258619,0.0000,1.0000
2019-05-03,34.0400,34.4927,31.4800,32.5400,32.5400,134430,0.0000,1.0000
2019-05-02,37.8000,38.0000,32.3900,33.7000,33.7000,316392,0.0000,1.0000
2019-05-01,34.6500,35.0500,33.2100,33.4800,33.4800,189377,0.0000,1.0000
2019-04-30,33.0600,34.9300,33.0600,34.8000,34.8000,308660,0.0000,1.0000
2019-04-29,31.4800,33.1200,31.3900,33.0600,33.0600,288315,0.0000,1.0000
2019-04-26,29.7100,31.3300,29.6900,31.2800,31.2800,229255,0.0000,1.0000
2019-04-25,28.2000,29.4900,27.7000,29.3700,29.3700,254719,0.0000,1.0000
2019-04-24,28.3000,28.4000,27.5300,28.2400,28.2400,127782,0.0000,1.0000
2019-04-23,27.0400,28.8700,27.0300,28.3200,28.3200,171880,0.0000,1.0000
2019-04-22,26.3300,28.0000,26.0100,27.0600,27.0600,66492,0.0000,1.0000
2019-04-18,27.9800,29.2495,25.9900,26.6700,26.6700,483128,0.0000,1.0000
2019-04-17,24.2500,29.6000,24.2100,28.9000,28.9000,3159667,0.0000,1.0000
